x; y;Village;Endemicity
0;0;Misuuni;Moderate
1,878953829;1,822888839;Misuuni;Moderate
4,986451105;1,215259226;Misuuni;Moderate
9,972899453;10,93747211;Misuuni;Moderate
8,021682092;4,861083263;Misuuni;Moderate
12,57452719;20,05205539;Misuuni;Moderate
14,95935331;24,91318501;Misuuni;Moderate
16,98283696;34,02776828;Misuuni;Moderate
19,43992937;32,81250905;Misuuni;Moderate
22,04155436;31,59720347;Misuuni;Moderate
23,84823914;27,95137943;Misuuni;Moderate
25,65492392;26,12844423;Misuuni;Moderate
27,96748375;21,26736097;Misuuni;Moderate
30,56910874;20,05205539;Misuuni;Moderate
33,24300001;16,40623135;Misuuni;Moderate
35,19422289;16,40623135;Misuuni;Moderate
37,5067772;16,40623135;Misuuni;Moderate
39,60253266;15,79860173;Misuuni;Moderate
41,55375002;15,79860173;Misuuni;Moderate
43,93857614;15,79860173;Misuuni;Moderate
46,25113045;15,79860173;Misuuni;Moderate
48,41915219;13,36803692;Misuuni;Moderate
50,80397831;13,97566654;Misuuni;Moderate
52,97200005;15,19097212;Misuuni;Moderate
55,0677555;13,36803692;Misuuni;Moderate
57,81391307;13,36803692;Misuuni;Moderate
60,9214131;12,1527777;Misuuni;Moderate
64,31797829;10,3298425;Misuuni;Moderate
67,20867394;10,3298425;Misuuni;Moderate
67,93134785;10,3298425;Misuuni;Moderate
